,marque,liens_marque,categorie,reviews,pays
0,Younited Credit,www.younited-credit.com,bank,67412.0,FR
2,Cofidis,cofidis.fr,bank,24546.0,FR
7,BoursoBank,boursobank.com,bank,17320.0,FR
3,Qonto,qonto.com,bank,15057.0,FR
25,Orange Bank,orangebank.fr,bank,14971.0,FR
26,Sumeria,sumeria.eu,bank,14074.0,FR
37,Floabank,floabank.fr,bank,9903.0,FR
8,Anytime,anyti.me,bank,7176.0,FR
13,Fortuneo,fortuneo.fr,bank,6769.0,FR
5,Pixpay,pixpay.eu,bank,6314.0,FR
12,Monabanq,www.monabanq.com,bank,6021.0,FR
15,Immoprêt,immopret.fr,bank,5319.0,FR
28,Hello bank! France,hellobank.fr,bank,4580.0,FR
29,Ma French Bank,www.mafrenchbank.fr,bank,3828.0,FR
9,Shine,shine.fr,bank,3735.0,FR
34,SOFINCO,sofinco.fr,bank,3661.0,FR
21,Kard,kard.eu,bank,1946.0,FR
30,floapay.com,floapay.com,bank,1092.0,FR
6,Money Walkie,moneywalkie.com,bank,980.0,FR
20,Vybe,www.vybecard.com,bank,918.0,FR
14,helios.do,helios.do,bank,822.0,FR
10,Blank,blank.app,bank,769.0,FR
17,Green-Got,green-got.com,bank,617.0,FR
1,CIB Formation,cibformation.fr,bank,557.0,FR
18,bcfinance.fr,bcfinance.fr,bank,555.0,FR
16,France SCPI - Le site tout en ligne de la SCPI,www.francescpi.com,bank,329.0,FR
27,Louvre Banque Privée,bpe.fr,bank,237.0,FR
11,propulsebyca.fr,propulsebyca.fr,bank,194.0,FR
19,Cofidis - O Cr&eacute;dito Por Telefone,cofidis.pt,bank,118.0,FR
22,la Nef,www.lanef.com,bank,113.0,FR
23,Britline,britline.com,bank,99.0,FR
4,PennyPet,pennypet.io,bank,72.0,FR
31,ConnectBanque,connectbanque.com,bank,58.0,FR
33,01 Banque en Ligne,01banque-en-ligne.fr,bank,51.0,FR
35,Moneco,moneco.app,bank,44.0,FR
39,ONLYONE,onlyonecard.eu,bank,38.0,FR
38,Plusq1taux Landes Pays Basque,plusq1taux.com,bank,19.0,FR
24,MoneyNow,moneynow.fr,bank,13.0,FR
32,Idéal Prêt,idealpret.fr,bank,9.0,FR
36,Changer Ma Banque,changermabanque.com,bank,3.0,FR
114,Elephorm,elephorm.com,distance_learning_center,1919.0,FR
93,"École 5.3 Nutrition, Sport & Santé",ecole53.fr,distance_learning_center,920.0,FR
115,Tuto.com,fr.tuto.com,distance_learning_center,896.0,FR
94,Doctrio,doctrio.com,distance_learning_center,758.0,FR
123,O'clock,oclock.io,distance_learning_center,719.0,FR
124,EFC Formation ,efcformation.com,distance_learning_center,494.0,FR
